# SRC:3C279 DATE(MJD):57849 FREQ:229.0707GHz
# time(UTC)      T1     T2   U(lambda)        V(lambda)         Iamp(Jy)    Iphase(d)   Isigma(Jy)
01.06805554      AA     PV  -4385927168.0000  -4893571072.0000  1.36015115      1.0437  0.00403821
01.06805554      AA     AP       838403.7500     -1830926.2500  8.55008289     52.6328  0.00408523
01.06805554      AP     PV  -4386785280.0000  -4891730944.0000  1.35985792    -52.0535  0.03199521
01.07083333      AA     AP       838271.0000     -1830974.7500  8.55024556     52.6674  0.00673229
01.07083333      AA     PV  -4386660864.0000  -4893240320.0000  1.37256937      1.0688  0.00390720
01.07083333      AP     PV  -4387494400.0000  -4891411456.0000  1.37352661    -51.9751  0.03005512
01.07361111      AA     AP       838044.3750     -1831057.2500  8.54992300     52.7229  0.00495967
01.07361111      AA     PV  -4387375104.0000  -4892917248.0000  1.37153187      1.0172  0.00390808
01.07361111      AP     PV  -4388210176.0000  -4891087360.0000  1.37281303    -52.8438  0.03052859
01.07638890      AA     AP       837896.2500     -1831111.0000  8.55014636     52.7537  0.00399740
01.07638890      AA     PV  -4388085248.0000  -4892595200.0000  1.32797707      1.0252  0.00349273
01.07638890      AP     PV  -4388929024.0000  -4890761216.0000  1.32886874    -50.1293  0.03001616
01.07916668      AA     PV  -4388805120.0000  -4892267520.0000  1.33490490      1.0054  0.00363816
01.07916668      AA     AP       837722.6250     -1831173.8750  8.55024581     52.7896  0.00389512
01.07916668      AP     PV  -4389639168.0000  -4890438144.0000  1.33558100    -49.5867  0.02987726
01.08194447      AA     PV  -4389493248.0000  -4891953152.0000  1.26382073      0.9660  0.00373202
01.08194447      AA     AP       837552.0000     -1831235.5000  8.55030240     52.8166  0.00390384
01.08194447      AP     PV  -4390341120.0000  -4890117120.0000  1.26575905    -53.1966  0.03052217
01.08472225      AA     AP       837380.8750     -1831297.1250  8.55026486     52.8500  0.00391196
01.08472225      AA     PV  -4390205440.0000  -4891626496.0000  1.32335319      0.9986  0.00360893
01.08472225      AP     PV  -4391020544.0000  -4889805824.0000  1.32259307    -51.6598  0.02901881
01.08750004      AA     PV  -4390903296.0000  -4891305472.0000  1.26091465      1.0323  0.00372784
01.08750004      AA     AP       837212.0000     -1831357.7500  8.55017982     52.8875  0.00407720
01.08750004      AP     PV  -4391732224.0000  -4889478144.0000  1.25971584    -53.0245  0.02993360
01.09027782      AA     PV  -4391587840.0000  -4890989568.0000  1.30370175      1.0114  0.00378631
01.09027782      AA     AP       837037.3125     -1831420.2500  8.55009772     52.9204  0.00390058
01.09027782      AP     PV  -4392422400.0000  -4889159168.0000  1.30501962    -51.1583  0.03010077
01.09305552      AA     PV  -4392301568.0000  -4890658816.0000  1.32791929      1.0296  0.00378040
01.09305552      AA     AP       836864.8750     -1831481.8750  8.55005602     52.9431  0.00391438
01.09305552      AP     PV  -4393148416.0000  -4888823296.0000  1.32925155    -51.3410  0.02892935
01.09583330      AA     PV  -4392979968.0000  -4890343424.0000  1.32012023      0.9789  0.00364415
01.09583330      AA     AP       836692.0000     -1831543.3750  8.55018040     52.9800  0.00387431
01.09583330      AP     PV  -4393826816.0000  -4888507392.0000  1.31977537    -53.8380  0.02905555
01.09861109      AA     PV  -4393705472.0000  -4890005504.0000  1.33318035      1.0227  0.00368173
01.09861109      AA     AP       836515.7500     -1831606.0000  8.55024956     53.0073  0.00395206
01.09861109      AP     PV  -4394593280.0000  -4888149504.0000  1.33308954    -51.2618  0.03318400
01.10138887      AA     PV  -4394382336.0000  -4889688064.0000  1.26240714      0.9536  0.00370721
01.10138887      AA     AP       836344.8750     -1831666.5000  8.54994364     53.0407  0.00386358
01.10138887      AP     PV  -4395207680.0000  -4887861760.0000  1.26446041    -53.7641  0.03041282
01.10416666      AA     AP       836159.0625     -1831732.1250  8.54977579     53.0795  0.00421501
01.10416666      AA     PV  -4395068416.0000  -4889366016.0000  1.34832771      1.0081  0.00355758
01.10416666      AP     PV  -4395897344.0000  -4887537664.0000  1.34816413    -50.9272  0.03268652
01.10694444      AA     AP       836002.6875     -1831787.1250  8.55003365     53.1112  0.00400777
01.10694444      AA     PV  -4395745792.0000  -4889046528.0000  1.32312173      1.0045  0.00359846
01.10694444      AP     PV  -4396570624.0000  -4887220224.0000  1.32324481    -49.2858  0.03198880
01.10972223      AA     PV  -4396424704.0000  -4888725504.0000  1.31908787      1.0704  0.00377691
01.10972223      AA     AP       835820.8750     -1831851.0000  8.55011487     53.1436  0.00389575
01.10972223      AP     PV  -4397262848.0000  -4886892544.0000  1.31973864    -53.0885  0.03011266
01.11250001      AA     AP       835650.0000     -1831910.7500  8.54992624     53.1804  0.00420105
01.11250001      AA     PV  -4397120512.0000  -4888394752.0000  1.35260988      0.9962  0.00348818
01.11250001      AP     PV  -4397965824.0000  -4886558720.0000  1.35115285    -52.6488  0.02988074
01.11527780      AA     PV  -4397802496.0000  -4888069632.0000  1.30036428      1.0427  0.00362226
01.11527780      AA     AP       835469.3125     -1831973.8750  8.55000170     53.2181  0.00385527
01.11527780      AP     PV  -4398639616.0000  -4886237184.0000  1.30093900    -49.8365  0.02909051
01.66805559      AA     AP       791753.0625     -1843901.8750  8.55097578     60.4868  0.00393987
01.66805559      AA     PV  -4485928448.0000  -4822943232.0000  1.28432337     15.4630  0.00342556
01.66805559      AA     LM   1363657728.0000  -3265113088.0000  1.39185349   -122.1358  0.00428722
01.66805559      AP     LM   1362891008.0000  -3263270912.0000  1.38715456    176.2341  0.03890333
01.66805559      AP     PV  -4486717440.0000  -4821103616.0000  1.28816671    -44.5130  0.02957323
01.66805559      LM     PV  -5849532416.0000  -1557841024.0000  0.82621260    172.4038  0.03866477
01.67083329      AA     PV  -4486140928.0000  -4822602240.0000  1.25797967     15.4347  0.00352153
01.67083329      AA     AP       791478.1250     -1843962.8750  8.55050758     60.5001  0.00363708
01.67083329      AA     LM   1365031168.0000  -3265213440.0000  1.30048939   -122.0785  0.00429860
01.67083329      AP     PV  -4486932480.0000  -4820758016.0000  1.28398041    -44.8878  0.02986829
01.67083329      AP     LM   1364270720.0000  -3263371776.0000  1.26246785    176.9704  0.03743846
01.67083329      LM     PV  -5851196416.0000  -1557387520.0000  0.72989190    176.7460  0.03583206
01.67361116      AA     AP       791211.3750     -1844021.8750  8.55079667     60.5039  0.00366707
01.67361116      AA     PV  -4486338560.0000  -4822280192.0000  1.39568722     15.4586  0.00340950
01.67361116      AA     LM   1366403840.0000  -3265313792.0000  1.26697840   -122.0520  0.00434433
01.67361116      AP     PV  -4487119360.0000  -4820453888.0000  1.37888743    -43.5747  0.03033320
01.67361116      AP     LM   1365585152.0000  -3263467776.0000  1.29458725    176.9499  0.03605086
01.67361116      LM     PV  -5852707840.0000  -1556974592.0000  0.76820203    177.9606  0.03500036
01.67638886      AA     AP       790958.1875     -1844077.7500  8.55090969     60.5139  0.00359365
01.67638886      AA     LM   1367775744.0000  -3265414400.0000  1.25860666   -121.9751  0.00427402
01.67638886      AA     PV  -4486540288.0000  -4821948416.0000  1.31413076     15.4806  0.00328993
01.67638886      AP     LM   1366989440.0000  -3263570688.0000  1.25143674    177.4599  0.03744433
01.67638886      AP     PV  -4487331840.0000  -4820103680.0000  1.32173933    -44.4108  0.02818501
01.67638886      LM     PV  -5854307328.0000  -1556536576.0000  0.71326175    174.2220  0.03575443
01.67916673      AA     PV  -4486737920.0000  -4821619712.0000  1.37277726     15.5651  0.00339521
01.67916673      AA     AP       790685.0000     -1844138.0000  8.55062143     60.5246  0.00358249
01.67916673      AA     LM   1369146880.0000  -3265515008.0000  1.14354251   -121.9542  0.00422506
01.67916673      AP     PV  -4487527936.0000  -4819776512.0000  1.34228981    -44.7067  0.03106417
01.67916673      AP     LM   1368356224.0000  -3263670784.0000  1.20314076    175.2036  0.03608808
01.67916673      LM     PV  -5855837184.0000  -1556116864.0000  0.64867914    179.2374  0.03571855
01.68194443      AA     AP       790434.2500     -1844193.1250  8.55043982     60.5411  0.00363023
01.68194443      AA     LM   1370517376.0000  -3265615872.0000  1.04769439   -121.8988  0.00427444
01.68194443      AA     PV  -4486934528.0000  -4821288448.0000  1.32931550     15.5128  0.00329670
01.68194443      AP     LM   1369726848.0000  -3263771648.0000  1.08421092    175.9054  0.03542425
01.68194443      AP     PV  -4487725056.0000  -4819444224.0000  1.31303092    -44.0819  0.02729215
01.68194443      LM     PV  -5857470976.0000  -1555667584.0000  0.64772574    175.0421  0.03491651
01.68472230      AA     AP       790164.2500     -1844252.3750  8.55075302     60.5445  0.00358791
01.68472230      AA     LM   1371887104.0000  -3265716736.0000  0.95934237   -121.8435  0.00430809
01.68472230      AA     PV  -4487128064.0000  -4820958720.0000  1.28664465     15.5078  0.00332268
01.68472230      AP     LM   1371074048.0000  -3263870720.0000  0.95593512    178.1411  0.03616543
01.68472230      AP     PV  -4487915520.0000  -4819119104.0000  1.29068411    -45.8541  0.02786302
01.68472230      LM     PV  -5859026432.0000  -1555238784.0000  0.58305792    172.0619  0.03570528
01.68750000      AA     AP       789897.7500     -1844310.8750  8.55064629     60.5551  0.00357105
01.68750000      AA     LM   1373244672.0000  -3265816832.0000  0.95019102   -121.8363  0.00427482
01.68750000      AA     PV  -4487319552.0000  -4820628480.0000  1.35109473     15.5526  0.00329537
01.68750000      AP     PV  -4488103936.0000  -4818792960.0000  1.32924142    -40.3416  0.03049106
01.68750000      AP     LM   1372466176.0000  -3263973376.0000  1.00131925    177.0413  0.03628617
01.68750000      LM     PV  -5860578304.0000  -1554810112.0000  0.67878902    172.8710  0.03494439
01.69027770      AA     AP       789631.2500     -1844369.1250  8.55035792     60.5707  0.00354398
01.69027770      AA     PV  -4487507968.0000  -4820298752.0000  1.27362882     15.5628  0.00335754
01.69027770      AA     LM   1374624256.0000  -3265918720.0000  1.05951938   -121.7739  0.00426968
01.69027770      AP     PV  -4488300544.0000  -4818448896.0000  1.28662920    -42.8342  0.02842056
01.69027770      AP     LM   1373827840.0000  -3264073728.0000  1.03899732    177.2632  0.03610355
01.69027770      LM     PV  -5862153216.0000  -1554374016.0000  0.62607934    176.9209  0.03423352
01.69305557      AA     AP       789371.3125     -1844425.8750  8.55055774     60.5782  0.00391257
01.69305557      AA     PV  -4487685632.0000  -4819984384.0000  1.38234265     15.6381  0.00354790
01.69305557      AA     LM   1375991808.0000  -3266019840.0000  1.14692358   -121.7800  0.00432100
01.69305557      AP     LM   1375172608.0000  -3264173056.0000  1.20683637    174.8865  0.03790400
01.69305557      AP     PV  -4488477696.0000  -4818135040.0000  1.35297821    -45.0542  0.02911423
01.69305557      LM     PV  -5863665664.0000  -1553954304.0000  0.69087504    173.7829  0.03424557
01.69583327      AA     AP       789090.4375     -1844487.0000  8.55091817     60.5898  0.00364483
01.69583327      AA     PV  -4487877120.0000  -4819640320.0000  1.27701557     15.6085  0.00334565
01.69583327      AA     LM   1377358592.0000  -3266120960.0000  1.20108144   -121.7274  0.00424942
01.69583327      AP     PV  -4488669696.0000  -4817789952.0000  1.30210521    -46.9500  0.02947965
01.69583327      AP     LM   1376578688.0000  -3264277248.0000  1.16085877    174.8093  0.03661414
01.69583327      LM     PV  -5865236992.0000  -1553517056.0000  0.70261421    172.6895  0.03351304
01.69861114      AA     AP       788832.9375     -1844543.0000  8.55073994     60.5942  0.00372320
01.69861114      AA     PV  -4488056832.0000  -4819314176.0000  1.31328674     15.6355  0.00328870
01.69861114      AA     LM   1378724736.0000  -3266222336.0000  1.17580668   -121.7355  0.00417404
01.69861114      AP     PV  -4488842240.0000  -4817476096.0000  1.30072533    -44.5906  0.03130770
01.69861114      AP     LM   1377912448.0000  -3264376064.0000  1.19943056   -178.1432  0.03973555
01.69861114      LM     PV  -5866732544.0000  -1553100160.0000  0.69530007   -177.0120  0.03842405
01.70138884      AA     AP       788563.2500     -1844601.6250  8.55077052     60.6025  0.00351937
01.70138884      AA     LM   1380089984.0000  -3266323968.0000  1.04854295   -121.6878  0.00437716
01.70138884      AA     PV  -4488239104.0000  -4818977792.0000  1.26033288     15.7136  0.00338169
01.70138884      AP     PV  -4489029120.0000  -4817131008.0000  1.25769868    -44.5173  0.02863931
01.70138884      AP     LM   1379270656.0000  -3264476928.0000  1.06191234    175.0323  0.03626575
01.70138884      LM     PV  -5868298752.0000  -1552662656.0000  0.57950702    174.1451  0.03742212
01.70416671      AA     LM   1381389184.0000  -3266420480.0000  0.84965974   -121.7208  0.00969194
