# SRC:3C279 DATE(MJD):57848 FREQ:229.0707GHz
# time(UTC)      T1     T2   U(lambda)        V(lambda)         Iamp(Jy)    Iphase(d)   Isigma(Jy)
02.85138881      AA     AP       653788.1250     -1865452.7500  8.54582808     94.0474  0.00326336
02.85138881      AA     PV  -4376152576.0000  -4690831872.0000  1.69861040     47.5213  0.00345283
02.85138881      AA     LM   1850266752.0000  -3313022720.0000  0.87346456   -124.6520  0.00260575
02.85138881      AP     LM   1849650304.0000  -3311162368.0000  0.88314311    141.8007  0.02344545
02.85138881      AP     PV  -4376807424.0000  -4688967168.0000  1.68840882    -43.3525  0.02977072
02.85138881      LM     PV  -6226418688.0000  -1377810048.0000  0.54806982   -155.2202  0.02426341
02.85416669      AA     PV  -4375419904.0000  -4690517504.0000  1.75195888     47.5253  0.00357634
02.85416669      AA     AP       653371.0625     -1865500.6250  8.54525650     94.0479  0.00317140
02.85416669      AA     LM   1851293568.0000  -3313158912.0000  0.85382714   -124.6934  0.00258879
02.85416669      AP     LM   1850668288.0000  -3311297024.0000  0.85196027    139.1009  0.02341129
02.85416669      AP     PV  -4376079360.0000  -4688654848.0000  1.75414800    -43.5262  0.03102426
02.85416669      LM     PV  -6226693120.0000  -1377356672.0000  0.57871543   -154.3218  0.02656462
02.85694438      AA     AP       652948.1250     -1865549.2500  8.54550839     94.0548  0.00323687
02.85694438      AA     LM   1852319488.0000  -3313295104.0000  0.86637322   -124.6959  0.00260114
02.85694438      AA     PV  -4374650880.0000  -4690188288.0000  1.70836089     47.4852  0.00344872
02.85694438      AP     PV  -4375298048.0000  -4688320000.0000  1.69827992    -46.6846  0.02956034
02.85694438      AP     LM   1851666560.0000  -3311429632.0000  0.87855071    139.9305  0.02184682
02.85694438      LM     PV  -6226970624.0000  -1376893184.0000  0.52909185   -156.4061  0.02376282
02.85972226      AA     LM   1853354624.0000  -3313432832.0000  0.86856881   -124.7674  0.00264705
02.85972226      AA     AP       652533.1875     -1865596.7500  8.54530543     94.0558  0.00317655
02.85972226      AA     PV  -4373896704.0000  -4689866752.0000  1.78482561     47.5291  0.00344092
02.85972226      AP     PV  -4374545408.0000  -4687999488.0000  1.77564637    -46.5084  0.03032509
02.85972226      AP     LM   1852691840.0000  -3311565824.0000  0.87585901    141.8320  0.02192820
02.85972226      LM     PV  -6227238400.0000  -1376439936.0000  0.56697885   -158.6008  0.02477099
02.86249995      AA     PV  -4373129728.0000  -4689540608.0000  1.84070866     47.5084  0.00363613
02.86249995      AA     AP       652106.0625     -1865645.6250  8.54506902     94.0694  0.00328662
02.86249995      AA     LM   1854381952.0000  -3313569536.0000  0.85821178   -124.7745  0.00267992
02.86249995      AP     PV  -4373813248.0000  -4687688192.0000  1.82612338    -45.9732  0.03337700
02.86249995      AP     LM   1853736704.0000  -3311704832.0000  0.87388735    138.9127  0.02335501
02.86249995      LM     PV  -6227510784.0000  -1375973760.0000  0.56638950   -157.1624  0.02530313
02.86527783      AA     AP       651718.6875     -1865689.8750  8.54512301     94.0711  0.00373112
02.86527783      AA     LM   1855361024.0000  -3313700096.0000  0.88272896   -124.8263  0.00280540
02.86527783      AA     PV  -4372372480.0000  -4689219584.0000  1.78409596     47.4967  0.00365092
02.86527783      AP     LM   1854727680.0000  -3311836928.0000  0.88315297    139.1011  0.02199154
02.86527783      AP     PV  -4373024256.0000  -4687353856.0000  1.78075605    -45.6219  0.02924355
02.86527783      LM     PV  -6227772928.0000  -1375518976.0000  0.58755785   -151.7791  0.02371868
02.86805552      AA     PV  -4371601920.0000  -4688893952.0000  1.75047704     47.4682  0.00365109
02.86805552      AA     AP       651273.0625     -1865740.6250  8.54521527     94.0788  0.00328770
02.86805552      AA     LM   1856413184.0000  -3313840640.0000  0.84690133   -124.9211  0.00263088
02.86805552      AP     LM   1855742464.0000  -3311972352.0000  0.85184485    137.6769  0.02273844
02.86805552      AP     PV  -4372263936.0000  -4687032832.0000  1.74383368    -46.2312  0.03025541
02.86805552      LM     PV  -6228039680.0000  -1375050496.0000  0.60054813   -157.1137  0.02587229
02.87083340      AA     AP       650861.6875     -1865787.5000  8.54543694     94.0797  0.00345706
02.87083340      AA     LM   1857411072.0000  -3313974272.0000  0.84424249   -124.8636  0.00275123
02.87083340      AA     PV  -4370870272.0000  -4688585728.0000  1.69759224     47.5471  0.00366487
02.87083340      AP     LM   1856818304.0000  -3312116224.0000  0.85158102    140.9475  0.02384499
02.87083340      AP     PV  -4371506176.0000  -4686713856.0000  1.69146949    -47.2310  0.03103268
02.87083340      LM     PV  -6228291072.0000  -1374602752.0000  0.52471510   -152.8806  0.02369653
02.87361109      AA     AP       650438.7500     -1865835.6250  8.54544960     94.0808  0.00325829
02.87361109      AA     LM   1858462720.0000  -3314115072.0000  0.84815866   -124.9424  0.00267210
02.87361109      AA     PV  -4370095104.0000  -4688260096.0000  1.80552938     47.4930  0.00356322
02.87361109      AP     PV  -4370741760.0000  -4686392832.0000  1.81974399    -45.9715  0.03012495
02.87361109      AP     LM   1857817984.0000  -3312250112.0000  0.83316565    142.6792  0.02258915
02.87361109      LM     PV  -6228544000.0000  -1374147200.0000  0.48902830   -145.0764  0.02524093
02.87638897      AA     PV  -4369320448.0000  -4687936000.0000  1.69947742     47.4702  0.00370109
02.87638897      AA     AP       650010.5000     -1865884.2500  8.54578998     94.0917  0.00335557
02.87638897      AA     LM   1859473152.0000  -3314250752.0000  0.84491029   -124.9492  0.00260200
02.87638897      AP     PV  -4369987584.0000  -4686077440.0000  1.68528666    -48.0200  0.03193823
02.87638897      AP     LM   1858819840.0000  -3312384512.0000  0.85759303    138.1463  0.02238666
02.87638897      LM     PV  -6228800000.0000  -1373680128.0000  0.50181475   -148.2233  0.02467795
02.87916666      AA     PV  -4368562176.0000  -4687619584.0000  1.78269693     47.4498  0.00355521
02.87916666      AA     AP       649589.6875     -1865932.0000  8.54577513     94.1005  0.00317916
02.87916666      AA     LM   1860491136.0000  -3314387456.0000  0.85530216   -125.0074  0.00255300
02.87916666      AP     PV  -4369210368.0000  -4685753344.0000  1.75711314    -46.3803  0.03378760
02.87916666      AP     LM   1859848704.0000  -3312522496.0000  0.88001204    140.4697  0.02297864
02.87916666      LM     PV  -6229043712.0000  -1373228288.0000  0.54927696   -150.8668  0.02365904
02.88194436      AA     AP       649160.5000     -1865980.5000  8.54601572     94.1101  0.00334193
02.88194436      AA     PV  -4367793152.0000  -4687300096.0000  1.76338006     47.4483  0.00360983
02.88194436      AA     LM   1861508224.0000  -3314524416.0000  0.84629296   -125.0152  0.00258900
02.88194436      AP     PV  -4368443392.0000  -4685434368.0000  1.76386287    -47.2249  0.02986484
02.88194436      AP     LM   1860859008.0000  -3312658432.0000  0.84575165    140.6910  0.02188118
02.88194436      LM     PV  -6229287424.0000  -1372771072.0000  0.55577278   -155.2263  0.02579367
02.88472223      AA     LM   1862529280.0000  -3314662144.0000  0.84875631   -125.0274  0.00263322
02.88472223      AA     PV  -4367003648.0000  -4686972928.0000  1.65228255     47.4945  0.00352362
02.88472223      AA     AP       648745.6250     -1866027.5000  8.54573223     94.1181  0.00320112
02.88472223      AP     PV  -4367662080.0000  -4685110784.0000  1.67433092    -44.1136  0.03125327
02.88472223      AP     LM   1861861888.0000  -3312793600.0000  0.82581875    137.5182  0.02236160
02.88472223      LM     PV  -6229530112.0000  -1372310272.0000  0.49006689   -157.8487  0.02519599
02.88749993      AA     AP       648301.5000     -1866077.6250  8.54585425     94.1165  0.00342929
02.88749993      AA     LM   1863556224.0000  -3314800640.0000  0.82559292   -125.1020  0.00264030
02.88749993      AA     PV  -4366227456.0000  -4686651904.0000  1.74272393     47.4714  0.00346446
02.88749993      AP     LM   1862907904.0000  -3312934656.0000  0.84845046    141.3567  0.02240386
02.88749993      AP     PV  -4366875648.0000  -4684786176.0000  1.72366511    -47.0455  0.02938929
02.88749993      LM     PV  -6229769216.0000  -1371848704.0000  0.55705724   -155.3515  0.02519122
02.89027780      AA     AP       647933.9375     -1866119.0000  8.54513712     94.1179  0.00347942
02.89027780      AA     PV  -4365454336.0000  -4686333952.0000  1.65790441     47.4885  0.00359827
02.89027780      AA     LM   1864553344.0000  -3314935552.0000  0.82518594   -125.1545  0.00257713
02.89027780      AP     LM   1863922304.0000  -3313071616.0000  0.84026471    143.0011  0.02227395
02.89027780      AP     PV  -4366108672.0000  -4684470272.0000  1.64617678    -44.6602  0.02982424
02.89027780      LM     PV  -6230003200.0000  -1371390848.0000  0.49409064   -152.4991  0.02412398
02.89305550      AA     LM   1865554560.0000  -3315071232.0000  0.83999878   -125.2123  0.00266476
02.89305550      AA     PV  -4364664320.0000  -4686009344.0000  1.70827269     47.4942  0.00357078
02.89305550      AA     AP       647476.8750     -1866170.5000  8.54517088     94.1180  0.00316562
02.89305550      AP     LM   1864880128.0000  -3313201408.0000  0.84946495    140.0056  0.02229526
02.89305550      AP     PV  -4365325312.0000  -4684148736.0000  1.69928402    -46.9762  0.02986449
02.89305550      LM     PV  -6230232064.0000  -1370937216.0000  0.47285335   -152.4350  0.02363510
02.89583337      AA     AP       647058.1875     -1866217.5000  8.54541948     94.1185  0.00324770
02.89583337      AA     LM   1866578432.0000  -3315209984.0000  0.83929597   -125.2425  0.00258891
02.89583337      AA     PV  -4363881472.0000  -4685688832.0000  1.71841439     47.4694  0.00347002
02.89583337      AP     LM   1865910272.0000  -3313340928.0000  0.86137434    139.9759  0.02258757
02.89583337      AP     PV  -4364521472.0000  -4683820032.0000  1.70053227    -43.9088  0.03027324
02.89583337      LM     PV  -6230458880.0000  -1370480384.0000  0.50562258   -152.0998  0.02412112
02.89861107      AA     AP       646629.3125     -1866265.6250  8.54560953     94.1311  0.00315366
02.89861107      AA     LM   1867589504.0000  -3315347200.0000  0.85653501   -125.1984  0.00257469
02.89861107      AA     PV  -4363094528.0000  -4685367808.0000  1.70130086     47.4023  0.00345202
02.89861107      AP     LM   1866969856.0000  -3313484800.0000  0.86531200    138.2027  0.02355322
02.89861107      AP     PV  -4363741184.0000  -4683501568.0000  1.69541608    -44.5782  0.02894027
02.89861107      LM     PV  -6230682112.0000  -1370024448.0000  0.48453993   -156.3724  0.02412281
02.90138894      AA     LM   1868678272.0000  -3315495424.0000  0.85744498   -125.2634  0.00290014
02.90138894      AA     AP       646209.6250     -1866312.7500  8.54566587     94.1323  0.00339126
02.90138894      AA     PV  -4362291200.0000  -4685041152.0000  1.71435532     47.4341  0.00370780
02.90138894      AP     PV  -4362931200.0000  -4683172352.0000  1.73121610    -45.8292  0.03022473
02.90138894      AP     LM   1867953408.0000  -3313618432.0000  0.84054162    138.6616  0.02161346
02.90138894      LM     PV  -6230907392.0000  -1369557760.0000  0.46439192   -149.1665  0.02411935
02.90416664      AA     PV  -4361509376.0000  -4684724224.0000  1.57015939     47.4999  0.00381216
02.90416664      AA     AP       645781.0625     -1866360.6250  8.54531567     94.1309  0.00323499
02.90416664      AA     LM   1869608576.0000  -3315622144.0000  0.84148193   -125.3606  0.00253842
02.90416664      AP     PV  -4362146816.0000  -4682854400.0000  1.58059548    -44.7126  0.03151132
02.90416664      AP     LM   1868948864.0000  -3313753856.0000  0.83417772    141.8512  0.02287818
02.90416664      LM     PV  -6231122944.0000  -1369104000.0000  0.44497322   -153.5728  0.02360987
02.90694451      AA     LM   1870701312.0000  -3315771392.0000  0.85480436   -125.3667  0.00289848
02.90694451      AA     PV  -4360709120.0000  -4684400640.0000  1.69596048     47.4108  0.00371147
02.90694451      AA     AP       645355.3750     -1866408.2500  8.54541813     94.1346  0.00316842
02.90694451      AP     PV  -4361367040.0000  -4682539520.0000  1.69170983    -47.4568  0.03009275
02.90694451      AP     LM   1869988224.0000  -3313895680.0000  0.86041544    140.0836  0.02193208
02.90694451      LM     PV  -6231334912.0000  -1368651008.0000  0.51253128   -150.5437  0.02410430
02.90972221      AA     PV  -4359920640.0000  -4684083200.0000  1.59481499     47.4701  0.00346508
02.90972221      AA     AP       644930.0625     -1866455.6250  8.54547369     94.1390  0.00317989
02.90972221      AA     LM   1871623808.0000  -3315897344.0000  0.81413279   -125.4062  0.00252672
02.90972221      AP     PV  -4360584704.0000  -4682224128.0000  1.59089681    -45.1565  0.03242454
02.90972221      AP     LM   1870978944.0000  -3314030848.0000  0.81685838    142.1795  0.02211977
02.90972221      LM     PV  -6231552000.0000  -1368178816.0000  0.48723853   -154.6686  0.02410927
02.91250008      AA     AP       644488.1250     -1866504.8750  8.54544065     94.1424  0.00342295
02.91250008      AA     PV  -4359148544.0000  -4683772928.0000  1.63436686     47.4763  0.00363535
02.91250008      AA     LM   1872629888.0000  -3316035072.0000  0.83787467   -125.4070  0.00259436
02.91250008      AP     PV  -4359775232.0000  -4681899008.0000  1.63910546    -47.9211  0.03120620
02.91250008      AP     LM   1871953920.0000  -3314164224.0000  0.83564512    142.9020  0.02271392
02.91250008      LM     PV  -6231756288.0000  -1367728896.0000  0.49255496   -157.0483  0.02362783
02.91527778      AA     PV  -4358344704.0000  -4683450880.0000  1.68560736     47.4404  0.00370128
02.91527778      AA     LM   1873648384.0000  -3316174848.0000  0.84618277   -125.4699  0.00263680
02.91527778      AA     AP       644078.3750     -1866550.5000  8.54579947     94.1612  0.00322270
02.91527778      AP     PV  -4358993920.0000  -4681586176.0000  1.70364220    -45.2397  0.03294166
02.91527778      AP     LM   1872990976.0000  -3314306304.0000  0.83151362    142.0469  0.02191732
02.91527778      LM     PV  -6231959552.0000  -1367272960.0000  0.49062834   -150.1456  0.02463240
03.41805553      AP     LM   2038076288.0000  -3340378368.0000  1.16149713    140.2924  0.02276009
03.41805553      AP     PV  -4176291584.0000  -4624678912.0000  1.84832286    -33.3713  0.03140710
03.41805553      AP     AZ   2215757568.0000  -4270270464.0000  0.84352565    176.5556  0.04668107
03.41805553      AZ     PV  -6391970816.0000   -354423904.0000  0.92795512    161.2466  0.05401867
03.41805553      AZ     LM   -177616448.0000    929885056.0000  1.39007538    -57.5539  0.03569192
03.41805553      LM     PV  -6214365696.0000  -1284299264.0000  0.76022400   -140.9745  0.02348272
03.42083323      AP     LM   2038897408.0000  -3340529152.0000  1.11927980    140.6726  0.02146131
03.42083323      AP     PV  -4175068416.0000  -4624369664.0000  1.74366180    -30.4874  0.03178769
03.42083323      AP     AZ   2217291776.0000  -4270427648.0000  0.86269481    178.5002  0.04804914
03.42083323      AZ     LM   -178387280.0000    929898048.0000  1.38540574    -62.5929  0.03644006
03.42083323      AZ     PV  -6392357888.0000   -353941760.0000  0.94980849    164.7958  0.05399989
03.42083323      LM     PV  -6213965312.0000  -1283839872.0000  0.67588032   -139.1795  0.02297834
03.42361128      AP     AZ   2218906112.0000  -4270593024.0000  0.82830260   -179.1679  0.04773344
03.42361128      AP     LM   2039725952.0000  -3340681728.0000  1.12640015    140.8673  0.02072664
03.42361128      AP     PV  -4173853440.0000  -4624063488.0000  1.82025778    -32.7857  0.03072717
03.42361128      AZ     PV  -6392726528.0000   -353479232.0000  0.87696312    164.7816  0.05402120
03.42361128      AZ     LM   -179169312.0000    929911296.0000  1.38602281    -61.3417  0.03417505
03.42361128      LM     PV  -6213564416.0000  -1283384320.0000  0.72252460   -135.8739  0.02345264
03.42638898      AP     LM   2040521344.0000  -3340828416.0000  1.14026738    141.5033  0.02251081
03.42638898      AP     PV  -4172676864.0000  -4623767040.0000  1.81806377    -33.4215  0.03327446
03.42638898      AP     AZ   2220495360.0000  -4270756352.0000  0.87505726    178.3925  0.04971714
03.42638898      AZ     LM   -179943024.0000    929924480.0000  1.45822382    -62.5727  0.03490177
03.42638898      AZ     PV  -6393102848.0000   -353002080.0000  0.94270665    164.2583  0.05174241
03.42638898      LM     PV  -6213158912.0000  -1282926592.0000  0.75056740   -140.0214  0.02451654
03.42916667      AP     PV  -4171397376.0000  -4623445504.0000  1.83225817    -32.3329  0.03289466
03.42916667      AP     AZ   2222056448.0000  -4270916864.0000  0.83068159    178.6589  0.04674015
03.42916667      AP     LM   2041344512.0000  -3340980480.0000  1.10194545    140.7254  0.02119631
03.42916667      AZ     PV  -6393482752.0000   -352516192.0000  0.85862284    161.8683  0.05817754
03.42916667      AZ     LM   -180693584.0000    929937280.0000  1.40878925    -62.0580  0.03645466
03.42916667      LM     PV  -6212751360.0000  -1282471296.0000  0.70455972   -136.3142  0.02452237
03.43194437      AP     AZ   2223657984.0000  -4271081728.0000  0.80012514    178.0581  0.04668900
03.43194437      AP     LM   2042164096.0000  -3341132032.0000  1.14118031    140.7486  0.02073338
03.43194437      AP     PV  -4170185472.0000  -4623141888.0000  1.80864260    -31.6683  0.03013511
03.43194437      AZ     PV  -6393838592.0000   -352056672.0000  0.87295241    163.9391  0.05289788
03.43194437      AZ     LM   -181506960.0000    929951232.0000  1.44501664    -54.2915  0.03489926
03.43194437      LM     PV  -6212339712.0000  -1282014080.0000  0.70276059   -139.2459  0.02348609
03.43472207      AP     LM   2042971008.0000  -3341281792.0000  1.15524303    141.4128  0.02120418
03.43472207      AP     AZ   2225288960.0000  -4271249920.0000  0.92717267   -179.6423  0.04669065
03.43472207      AP     PV  -4168941312.0000  -4622830592.0000  1.86452221    -31.1048  0.03077321
03.43472207      AZ     LM   -182265440.0000    929964352.0000  1.45404321    -59.3262  0.03643777
03.43472207      AZ     PV  -6394199040.0000   -351587168.0000  0.97260363    165.3283  0.05291904
03.43472207      LM     PV  -6211915776.0000  -1281547776.0000  0.72254695   -137.4709  0.02398857
03.43750012      AP     LM   2043744768.0000  -3341425408.0000  1.10958067    142.1094  0.02326723
03.43750012      AP     PV  -4167731968.0000  -4622528512.0000  1.87378947    -32.4554  0.03214454
03.43750012      AP     AZ   2226852096.0000  -4271411456.0000  0.86423073    177.6840  0.04669222
03.43750012      AZ     PV  -6394544128.0000   -351132928.0000  0.91057554    168.7870  0.05412932
03.43750012      AZ     LM   -183047120.0000    929977856.0000  1.42320317    -58.9042  0.03560288
03.43750012      LM     PV  -6211506176.0000  -1281100416.0000  0.71522941   -135.4968  0.02397259
03.44027781      AP     LM   2044602496.0000  -3341584896.0000  1.11444559    141.6671  0.02161687
03.44027781      AP     PV  -4166485248.0000  -4622217728.0000  1.83190196    -31.4725  0.03080898
03.44027781      AP     AZ   2228406016.0000  -4271572224.0000  0.88047637    178.3536  0.04481989
03.44027781      AZ     PV  -6394908672.0000   -350648096.0000  0.92378648    159.9448  0.05296136
03.44027781      AZ     LM   -183829504.0000    929991488.0000  1.41182314    -58.7389  0.03481675
03.44027781      LM     PV  -6211080704.0000  -1280639488.0000  0.70063025   -139.6458  0.02449239
03.44305551      AP     PV  -4165271552.0000  -4621916160.0000  1.86843149    -31.2152  0.03156517
03.44305551      AP     LM   2045394432.0000  -3341732352.0000  1.11732004    141.3351  0.02091878
03.44305551      AP     AZ   2229989120.0000  -4271736064.0000  0.85248030    178.2453  0.04529181
03.44305551      AZ     LM   -184606736.0000    930005056.0000  1.43624020    -56.8600  0.03555553
03.44305551      AZ     PV  -6395261952.0000   -350174624.0000  0.93871321    173.7322  0.05186716
03.44305551      LM     PV  -6210654720.0000  -1280182016.0000  0.72059746   -134.1796  0.02345041
03.44583321      AP     PV  -4164086528.0000  -4621621760.0000  1.84851135    -29.4131  0.03375607
03.44583321      AP     LM   2046179200.0000  -3341878784.0000  1.11358976    141.5016  0.02068126
03.44583321      AP     AZ   2231570944.0000  -4271900160.0000  0.84072302   -179.6240  0.04480202
03.44583321      AZ     LM   -185359424.0000    930018240.0000  1.44750230    -59.5095  0.03556430
03.44583321      AZ     PV  -6395612672.0000   -349699072.0000  0.91367425    166.1520  0.05300414
03.44583321      LM     PV  -6210231808.0000  -1279730560.0000  0.70696194   -137.9880  0.02396657
03.44861126      AP     PV  -4162802432.0000  -4621303808.0000  1.73879094    -32.1625  0.03224948
03.44861126      AP     AZ   2233151488.0000  -4272064512.0000  0.78384037    178.2644  0.04487113
03.44861126      AP     LM   2046999040.0000  -3342032128.0000  1.10455625    140.9716  0.02027711
03.44861126      AZ     LM   -186137632.0000    930031936.0000  1.41793460    -54.6437  0.03553951
03.44861126      AZ     PV  -6395947520.0000   -349240896.0000  0.87215968    165.1823  0.05302479
03.44861126      LM     PV  -6209799168.0000  -1279272960.0000  0.66137139   -140.5005  0.02345250
03.45138896      AP     LM   2047792896.0000  -3342180864.0000  1.14747576    141.0589  0.02157947
03.45138896      AP     PV  -4161561088.0000  -4620997120.0000  1.88392894    -31.6484  0.03219554
03.45138896      AP     AZ   2234736640.0000  -4272229376.0000  0.83411304   -178.2458  0.04670019
03.45138896      AZ     LM   -186915760.0000    930045696.0000  1.44899673    -57.9708  0.03554813
03.45138896      AZ     PV  -6396296192.0000   -348758976.0000  1.04334455    161.3326  0.05304651
03.45138896      LM     PV  -6209362944.0000  -1278814720.0000  0.75670706   -141.0374  0.02450703
03.45416665      AP     AZ   2236277760.0000  -4272389888.0000  0.87193531    177.5961  0.04596706
03.45416665      AP     LM   2048608768.0000  -3342333952.0000  1.10116031    141.8048  0.02071438
03.45416665      AP     PV  -4160317440.0000  -4620690432.0000  1.91008391    -30.3959  0.03036824
03.45416665      AZ     LM   -187710256.0000    930059840.0000  1.42948607    -60.0189  0.03633939
03.45416665      AZ     PV  -6396618752.0000   -348308928.0000  0.99768773    161.8789  0.05306681
03.45416665      LM     PV  -6208937472.0000  -1278371456.0000  0.72846124   -138.5722  0.02397168
03.45694435      AP     PV  -4159076352.0000  -4620385280.0000  1.75464790    -30.6194  0.03221594
03.45694435      AP     LM   2049395456.0000  -3342481920.0000  1.14192830    141.0317  0.02109196
03.45694435      AP     AZ   2237902080.0000  -4272559360.0000  0.84420955    178.5959  0.04572005
03.45694435      AZ     LM   -188460896.0000    930073216.0000  1.41825592    -55.9974  0.03553228
03.45694435      AZ     PV  -6396961792.0000   -347825312.0000  0.77989747    161.9487  0.05308861
03.45694435      LM     PV  -6208487936.0000  -1277906560.0000  0.64358273   -139.5646  0.02346650
03.45972240      AP     AZ   2239411200.0000  -4272717056.0000  0.79336696   -179.4054  0.04907060
03.45972240      AP     PV  -4157897472.0000  -4620095488.0000  1.94385519    -31.8666  0.03311129
03.45972240      AP     LM   2050212736.0000  -3342635776.0000  1.11555335    141.2892  0.02064234
03.45972240      AZ     LM   -189216896.0000    930086784.0000  1.41959547    -52.9203  0.03630594
03.45972240      AZ     PV  -6397285376.0000   -347363776.0000  0.95351279    170.1443  0.05310960
